Iteration	Cds	Chromosome	Downstream	Exon	Gene	Intergenic	Intron	RareAminoAcid	SpliceSiteAcceptor	SpliceSiteDonor	Transcript	Upstream	Utr3prime	Utr5prime
0	0	1000	289	202	489	328	366	0	37	33	489	283	37	35
1	0	1000	288	218	501	351	352	0	26	34	501	315	34	30
2	0	1000	270	215	490	358	364	0	32	40	490	307	37	41
3	0	1000	305	224	502	357	357	0	24	37	502	348	38	34
4	0	1000	295	213	510	340	374	0	26	36	510	342	37	36
5	0	1000	308	245	519	328	373	0	46	40	519	319	44	37
6	0	1000	307	216	492	351	348	0	24	30	492	329	36	44
7	0	1000	312	209	494	348	350	0	28	27	494	336	37	37
8	0	1000	317	216	478	365	334	0	28	24	478	331	50	31
9	0	1000	282	195	471	362	356	0	42	22	471	323	31	29
10	0	1000	284	219	494	344	358	0	31	30	494	299	42	34
11	0	1000	280	202	495	351	365	0	31	25	495	314	43	21
12	0	1000	277	224	487	345	354	0	26	39	487	313	33	37
13	0	1000	307	231	487	355	335	0	34	32	487	334	43	38
14	0	1000	279	198	493	341	359	0	33	24	493	311	37	30
15	0	1000	286	212	472	330	330	0	27	34	472	337	38	29
16	0	1000	310	211	505	332	357	0	22	26	505	320	43	30
17	0	1000	307	211	503	357	361	0	25	26	503	312	40	29
18	0	1000	311	217	502	361	362	0	31	37	502	310	37	31
19	0	1000	337	261	523	333	374	0	46	51	523	354	38	44
20	0	1000	286	216	512	337	371	0	35	32	512	315	38	31
21	0	1000	311	205	502	315	370	0	26	29	502	320	46	35
22	0	1000	303	215	513	337	380	0	30	33	513	328	33	23
23	0	1000	281	228	487	344	345	0	32	42	487	327	37	33
24	0	1000	314	227	511	333	353	0	24	27	511	314	38	37
25	0	1000	321	218	514	317	349	0	18	22	514	309	58	32
26	0	1000	312	215	481	379	354	0	29	37	481	324	57	35
27	0	1000	322	227	494	344	360	0	33	40	494	334	41	32
28	0	1000	322	237	522	339	373	0	38	36	522	324	43	39
29	0	1000	318	219	481	352	345	0	44	35	481	308	40	29
30	0	1000	317	238	526	329	380	0	39	43	526	340	33	45
31	0	1000	287	201	487	343	354	0	27	25	487	293	31	28
32	0	1000	294	213	489	353	343	0	23	31	489	334	42	33
33	0	1000	324	227	481	367	335	0	35	39	481	327	34	39
34	0	1000	281	196	478	364	351	0	36	32	478	290	43	22
35	0	1000	295	230	505	334	356	0	42	29	505	331	33	36
36	0	1000	277	216	492	337	347	0	24	27	492	319	47	29
37	0	1000	317	229	512	324	356	0	38	29	512	325	42	31
38	0	1000	302	196	481	353	356	0	30	22	481	323	30	26
39	0	1000	280	235	509	332	348	0	29	20	509	316	47	35
40	0	1000	270	198	478	348	355	0	24	33	478	303	35	29
41	0	1000	280	201	501	338	371	0	25	30	501	302	45	29
42	0	1000	301	212	477	345	336	0	26	31	477	306	29	37
43	0	1000	295	232	493	346	350	0	40	29	493	317	39	28
44	0	1000	269	203	487	329	364	0	29	32	487	329	39	26
45	0	1000	299	218	497	329	353	0	21	28	497	299	37	44
46	0	1000	298	214	498	336	361	0	25	37	498	319	37	35
47	0	1000	279	200	495	348	363	0	24	33	495	320	39	26
48	0	1000	321	235	513	346	373	0	45	33	513	339	41	33
49	0	1000	300	208	503	334	361	0	27	29	503	316	38	30
50	0	1000	318	213	493	359	372	0	35	36	493	324	30	44
51	0	1000	291	214	495	339	354	0	35	24	495	296	29	40
52	0	1000	305	217	498	348	362	0	37	35	498	301	41	30
53	0	1000	292	205	469	346	345	0	29	32	469	312	26	40
54	0	1000	299	200	479	353	339	0	24	29	479	322	31	32
55	0	1000	290	205	486	374	339	0	18	19	486	303	40	30
56	0	1000	294	224	486	331	345	0	28	34	486	301	37	32
57	0	1000	277	211	488	343	348	0	34	25	488	303	41	32
58	0	1000	293	209	489	350	352	0	28	26	489	344	43	32
59	0	1000	283	211	502	351	356	0	28	28	502	318	38	28
60	0	1000	290	202	475	366	340	0	30	26	475	306	34	24
61	0	1000	319	217	512	336	372	0	31	37	512	337	32	34
62	0	1000	298	194	480	353	347	0	29	21	480	308	31	33
63	0	1000	304	231	514	334	361	0	27	26	514	323	37	33
64	0	1000	301	215	496	331	371	0	40	36	496	308	41	32
65	0	1000	346	247	522	329	358	0	40	39	522	333	30	48
66	0	1000	286	231	514	332	360	0	31	36	514	330	46	44
67	0	1000	296	207	488	361	344	0	26	24	488	313	35	29
68	0	1000	274	197	504	333	386	0	35	31	504	277	31	35
69	0	1000	303	231	504	323	358	0	35	38	504	331	34	40
70	0	1000	292	209	485	342	358	0	25	28	485	317	35	30
71	0	1000	303	225	507	336	356	0	27	38	507	322	51	26
72	0	1000	298	202	498	330	367	0	37	22	498	312	32	40
73	0	1000	316	229	504	358	337	0	28	28	504	350	46	33
74	0	1000	300	231	511	328	361	0	30	29	511	314	29	51
75	0	1000	270	198	496	323	364	0	29	31	496	328	32	26
76	0	1000	329	267	552	306	373	0	38	38	552	325	47	34
77	0	1000	301	216	481	352	339	0	33	28	481	283	35	39
78	0	1000	297	220	502	340	360	0	25	36	502	312	37	39
79	0	1000	304	223	492	367	348	0	31	32	492	330	28	36
80	0	1000	263	204	490	341	365	0	36	29	490	295	36	30
81	0	1000	299	232	517	343	357	0	26	28	517	332	50	38
82	0	1000	310	213	495	343	354	0	32	33	495	308	40	35
