Iteration	Cds	Chromosome	Downstream	Exon	Gene	Intergenic	Intron	RareAminoAcid	SpliceSiteAcceptor	SpliceSiteDonor	Transcript	Upstream	Utr3prime	Utr5prime
0	0	1000	268	211	483	356	335	0	21	30	483	317	40	40
1	0	1000	305	229	493	334	347	0	30	34	493	306	46	32
2	0	1000	289	211	509	332	386	0	26	40	509	289	36	29
3	0	1000	305	211	496	366	362	0	31	23	496	338	42	39
4	0	1000	302	216	481	340	340	0	21	34	481	298	32	32
5	0	1000	283	194	486	360	361	0	22	30	486	326	33	25
6	0	1000	272	210	485	327	347	0	23	27	485	308	30	27
7	0	1000	288	229	488	339	350	0	41	20	488	319	36	34
8	0	1000	305	239	498	319	342	0	27	28	498	310	47	33
9	0	1000	318	245	512	352	349	0	35	35	512	316	40	47
10	0	1000	315	210	493	363	353	0	30	37	493	345	46	36
11	0	1000	325	212	497	329	367	0	28	35	497	318	47	34
12	0	1000	282	204	497	339	369	0	35	31	497	294	38	38
13	0	1000	287	228	493	341	338	0	24	28	493	297	48	32
14	0	1000	265	201	485	349	354	0	23	26	485	289	35	35
15	0	1000	292	231	504	318	353	0	37	31	504	301	44	36
16	0	1000	300	202	501	332	365	0	24	34	501	312	32	34
17	0	1000	290	238	515	337	352	0	29	32	515	343	44	27
18	0	1000	281	213	496	343	366	0	29	27	496	282	38	33
19	0	1000	294	191	489	340	371	0	30	33	489	320	37	30
20	0	1000	299	220	502	344	353	0	23	30	502	321	40	35
21	0	1000	294	210	494	342	355	0	31	34	494	316	35	20
22	0	1000	314	213	493	351	361	0	32	40	493	350	30	45
23	0	1000	286	228	502	338	353	0	37	29	502	318	37	28
24	0	1000	292	217	497	331	357	0	26	39	497	297	34	31
25	0	1000	309	198	512	337	364	0	21	18	512	303	45	28
26	0	1000	290	196	480	346	343	0	21	22	480	289	32	27
27	0	1000	295	227	496	344	346	0	32	34	496	326	37	34
28	0	1000	310	226	481	349	345	0	34	37	481	333	41	22
29	0	1000	304	209	487	354	350	0	29	32	487	311	45	23
30	0	1000	300	219	502	336	354	0	26	27	502	295	46	37
31	0	1000	302	200	458	361	332	0	46	30	458	316	38	26
32	0	1000	321	227	506	346	357	0	37	25	506	377	41	33
33	0	1000	329	209	496	328	366	0	32	39	496	318	33	30
34	0	1000	287	222	494	344	363	0	44	38	494	319	39	33
35	0	1000	308	215	513	312	373	0	22	30	513	317	38	29
36	0	1000	293	217	499	341	358	0	36	24	499	310	44	39
37	0	1000	302	204	487	363	353	0	33	23	487	318	38	30
38	0	1000	289	208	503	323	352	0	15	29	503	313	42	42
39	0	1000	262	216	484	360	351	0	29	34	484	335	42	29
40	0	1000	306	231	512	344	353	0	25	21	512	297	38	43
41	0	1000	278	231	502	324	344	0	30	19	502	303	33	31
42	0	1000	300	213	492	350	355	0	31	37	492	317	37	35
43	0	1000	313	232	505	334	354	0	30	32	505	294	44	31
