nameLong	nameShort
enityId	enityId
entityName	entityName
Brain_Frontal_Cortex_BA9_	Brain
Cells_EBVtransformed_lymphocytes	CellsLymphocytes
Muscle_Skeletal	MuscleSkeletal
Adipose_Subcutaneous	Adipose
Whole_Blood	WholeBlood
Skin_Sun_Exposed_Lower_leg_	Skin
Whole_Blood	WholeBlood
Brain_Cerebellar_Hemisphere	Brain
Whole_Blood	WholeBlood
Whole_Blood	WholeBlood
Whole_Blood	WholeBlood
Thyroid	Thyroid
Thyroid	Thyroid
Brain_Putamen_basal_ganglia_	Brain
Heart_Atrial_Appendage	Heart
Prostate	Prostate
Brain_Cerebellum	Brain
Artery_Coronary	Artery
Esophagus_Mucosa	Esophagus
Thyroid	Thyroid
Artery_Tibial	Artery
Muscle_Skeletal	MuscleSkeletal
Brain_Nucleus_accumbens_basal_ganglia_	Brain
Nerve_Tibial	Nerve
Muscle_Skeletal	MuscleSkeletal
Muscle_Skeletal	MuscleSkeletal
Heart_Left_Ventricle	Heart
Brain_Hippocampus	Brain
Whole_Blood	WholeBlood
Lung	Lung
Brain_Putamen_basal_ganglia_	Brain
Muscle_Skeletal	MuscleSkeletal
Muscle_Skeletal	MuscleSkeletal
Brain_Spinal_cord_cervical_c1_	Brain
Skin_Not_Sun_Exposed_Suprapubic_	Skin
Brain_Hypothalamus	Brain
Brain_Caudate_basal_ganglia_	Brain
Nerve_Tibial	Nerve
Adipose_Subcutaneous	Adipose
Brain_Caudate_basal_ganglia_	Brain
Lung	Lung
Stomach	Stomach
Nerve_Tibial	Nerve
Brain_Cerebellum	Brain
Brain_Caudate_basal_ganglia_	Brain
Thyroid	Thyroid
Lung	Lung
Muscle_Skeletal	MuscleSkeletal
Muscle_Skeletal	MuscleSkeletal
Muscle_Skeletal	MuscleSkeletal
Thyroid	Thyroid
Thyroid	Thyroid
Adipose_Subcutaneous	Adipose
Whole_Blood	WholeBlood
Whole_Blood	WholeBlood
Muscle_Skeletal	MuscleSkeletal
Adipose_Subcutaneous	Adipose
Brain_Hypothalamus	Brain
Skin_Sun_Exposed_Lower_leg_	Skin
Heart_Left_Ventricle	Heart
Thyroid	Thyroid
Lung	Lung
Esophagus_Mucosa	Esophagus
Esophagus_Muscularis	Esophagus
Lung	Lung
Uterus	Uterus
Brain_Caudate_basal_ganglia_	Brain
Skin_Sun_Exposed_Lower_leg_	Skin
Lung	Lung
Heart_Left_Ventricle	Heart
Brain_Hypothalamus	Brain
Whole_Blood	WholeBlood
Ovary	Ovary
Brain_Nucleus_accumbens_basal_ganglia_	Brain
