# The following table is formatted as tab separated values. 
#GeneId	GeneName	BioType	Bases affected (DOWNSTREAM)	Total score (DOWNSTREAM)	Length (DOWNSTREAM)	Bases affected (EXON)	Total score (EXON)	Length (EXON)	Bases affected (GENE)	Total score (GENE)	Length (GENE)	Bases affected (INTRON)	Total score (INTRON)	Length (INTRON)	Bases affected (NONE)	Total score (NONE)	Length (NONE)	Bases affected (SPLICE_SITE_ACCEPTOR)	Total score (SPLICE_SITE_ACCEPTOR)	Length (SPLICE_SITE_ACCEPTOR)	Bases affected (SPLICE_SITE_DONOR)	Total score (SPLICE_SITE_DONOR)	Length (SPLICE_SITE_DONOR)	Bases affected (UPSTREAM)	Total score (UPSTREAM)	Length (UPSTREAM)	Bases affected (UTR_3_PRIME)	Total score (UTR_3_PRIME)	Length (UTR_3_PRIME)	Bases affected (UTR_5_PRIME)	Total score (UTR_5_PRIME)	Length (UTR_5_PRIME)	Count (DOWNSTREAM)	Count (EXON)	Count (INTRAGENIC)	Count (INTRON)	Count (SPLICE_SITE_ACCEPTOR)	Count (SPLICE_SITE_DONOR)	Count (UPSTREAM)	Count (UTR_3_PRIME)	Count (UTR_5_PRIME)
ENSG00000000419	DPM1	mRNA	977	73.66	6281	100	750.72	1207	4234	750.72	23689	2436	750.72	22482	0	0	0	2	750.72	20	2	750.72	20	3270	771.19	10034	0	0	265	0	0	33	977	100	0	2436	2	2	3270	0	0
ENSG00000019186	CYP24A1	mRNA	3805	446.02	16264	210	611.89	3972	2059	673.25	20525	1175	288.59	16553	0	0	0	2	227.23	24	2	227.23	22	2644	288.59	17020	115	384.66	1323	70	227.23	654	3805	210	0	1175	2	2	2644	115	70
ENSG00000020256	ZFP64	mRNA	1544	94.63	31393	198	307.69	7456	10689	1306.93	152646	10689	1306.93	145190	0	0	0	0	0	48	2	307.69	44	3622	858.41	26204	0	0	2236	26	307.69	1249	1544	198	0	10689	0	2	3622	0	26
ENSG00000022277	C20orf43	mRNA	990	480.92	17771	348	480.92	3501	7032	854.38	50297	7032	854.38	46796	0	0	0	2	480.92	22	2	480.92	24	2117	292.04	12398	288	480.92	1083	0	0	107	990	348	0	7032	2	2	2117	288	0
ENSG00000025293	PHF20	mRNA	9389	1716.49	45283	539	658.1	7812	34368	4053.52	178408	31632	4053.52	170596	0	0	0	4	597.28	44	4	597.28	54	2137	115.89	31177	184	373.97	5057	473	284.13	759	9389	539	0	31632	4	4	2137	184	473
ENSG00000025772	TOMM34	mRNA	0	0	5000	38	256.33	2062	38	256.33	18357	0	0	16295	0	0	0	2	729.95	12	2	729.95	12	2733	435.83	5000	0	0	979	38	256.33	153	0	38	0	0	2	2	2733	0	38
ENSG00000026036	RTEL1	mRNA	0	0	7454	279	245.15	9476	293	245.15	40889	75	245.15	31413	0	0	0	6	1891.42	76	4	1646.27	78	5357	1646.27	19283	279	245.15	2767	75	1392.67	4826	0	279	0	75	6	4	5357	279	75
ENSG00000026559	KCNG1	mRNA	0	0	11513	3	284.32	3748	2104	284.32	19474	2101	284.32	15726	0	0	0	0	0	8	2	284.32	10	2368	348.63	10049	0	0	1212	3	284.32	940	0	3	0	2101	0	2	2368	0	3
ENSG00000042062	FAM65C	mRNA	0	0	15870	309	788.63	6009	21918	1907.51	105421	21918	1907.51	99412	0	0	0	0	0	44	2	788.63	44	6299	841.19	22566	0	0	1124	309	788.63	721	0	309	0	21918	0	2	6299	0	309
ENSG00000053438	NNAT	mRNA	3304	573.24	5000	0	0	1294	0	0	2476	0	0	1182	0	0	0	0	0	4	0	0	4	0	0	5004	0	0	931	0	0	117	3304	0	0	0	0	0	0	0	0
ENSG00000054793	ATP9A	mRNA	2501	462.53	14349	665	3092.83	8317	68953	8382.77	172121	55535	8382.77	163804	0	0	0	10	3092.83	54	10	3092.83	56	4899	813.84	10306	0	0	4697	0	0	269	2501	665	0	55535	10	10	4899	0	0
ENSG00000054796	SPO11	mRNA	0	0	9968	0	0	1867	0	0	14236	0	0	12369	0	0	0	0	0	30	0	0	26	0	0	9991	0	0	761	0	0	109	0	0	0	0	0	0	0	0	0
ENSG00000054803	CBLN4	mRNA	0	0	5000	0	0	3024	0	0	8033	0	0	5009	0	0	0	0	0	4	0	0	4	0	0	5000	0	0	1117	0	0	1301	0	0	0	0	0	0	0	0	0
ENSG00000060491	OGFR	mRNA	934	75.41	8440	79	610.58	4702	3683	610.58	9166	2033	610.58	4464	0	0	0	2	610.58	18	2	610.58	18	2855	414.39	7438	0	0	351	69	610.58	2666	934	79	0	2033	2	2	2855	0	69
ENSG00000061656	SPAG4	mRNA	1074	593.08	7197	306	818.63	2240	3627	818.63	5158	279	593.08	2918	0	0	0	2	593.08	26	2	593.08	22	3054	818.63	8693	0	0	27	295	818.63	295	1074	306	0	279	2	2	3054	0	295
ENSG00000062598	ELMO2	mRNA	4297	1008.06	26456	1084	3472.54	6714	21544	3655.49	67017	13688	3849.98	60303	0	0	0	8	3472.54	54	8	3472.54	52	11431	3655.49	28671	1702	639.64	3337	308	2832.9	1134	4297	1084	0	13688	8	8	11431	1702	308
ENSG00000064205	WISP2	mRNA	1472	209.77	11028	89	209.77	4981	0	0	13666	0	0	8685	0	0	0	0	0	8	0	0	10	0	0	13813	0	0	504	0	0	547	1472	89	0	0	0	0	0	0	0
ENSG00000064601	CTSA	mRNA	0	0	9491	338	1000.63	3261	0	0	7869	524	467.09	4608	0	0	0	2	467.09	28	2	467.09	30	0	0	11829	0	0	370	253	533.54	602	0	338	0	524	2	2	0	0	253
ENSG00000064655	EYA2	mRNA	1199	96.93	20753	90	96.93	3622	16017	1602.88	294230	16017	1602.88	290608	0	0	0	2	96.93	36	2	96.93	38	0	0	26703	90	96.93	1490	0	0	374	1199	90	0	16017	2	2	0	90	0
ENSG00000064787	BCAS1	mRNA	5000	57.55	18006	1418	178.95	9025	26793	2093.2	133989	21835	2093.2	124964	0	0	0	0	0	28	2	121.4	28	0	0	15592	1208	57.55	6520	0	0	772	5000	1418	0	21835	0	2	0	1208	0
ENSG00000075043	KCNQ2	mRNA	1093	276.29	20259	95	276.29	4494	2494	276.29	66452	1176	276.29	61958	0	0	0	2	276.29	44	2	276.29	44	349	276.29	10002	66	276.29	882	0	0	177	1093	95	0	1176	2	2	349	66	0
